name,url,price_1lb,cup_characteristics,roasting_notes
Brazil Legender Peaberry,,8.50,"Dark chocolate, toasted almonds. Sweet, viscous cup with balanced acidity. Good component for an espresso or blend.","Bourbon and Catuai varieties. Medium to dark roast recommended."
Ethiopia Dry Process Guji Uraga,https://www.sweetmarias.com/products/ethiopia-dry-process-guji-uraga-8648,9.75,"One of our more versatile dry process Ethiopian coffees, from juicy fruits, spiced sweetness, and convincing acidity, to chocolate-driven profiles, orange highlights, and chicory tea.","City to Full City+. Good for espresso and versatile across a range of roast levels."
